<dialogue><succubus># Succ-U-Bus

This character has 242 sentences.

Index | Sentence ID | Wave ID | Sentence
46 | 183 | 182 | Put yer pointy thing on the object in the PET. Drag it into the tray.
47 | 185 | 184 | Put yer pointy thing on the object in the tray. Drag it into your PET.
48 | 187 | 186 | Are you going to send something, or are you just going to stand there gawping.
49 | 153 | 152 | Nothing. Nothing. Get on with it then.
50 | 189 | 188 | Right. That's it. I'm closed.
51 | 191 | 190 | Put the chevron on my face. Put the object in the tray. Click the little arrow on yer PET.
52 | 193 | 192 | Dear oh dear oh dear.
53 | 195 | 194 | Not that one.
54 | 201 | 200 | The one above it.
55 | 199 | 198 | The one below it.
56 | 197 | 196 | The one next to it.
57 | 203 | 202 | Doo bee doo bee do. Doo bee doo bee doo bee doo bee do. Doo bee doo bee do.
58 | 205 | 204 | What's that then?
59 | 207 | 206 | Where's that then?
60 | 209 | 208 | If I don't know where to send it, I can't send it, can I?
61 | 211 | 210 | How should I know where to send it?
62 | 213 | 212 | Don't you take the mickey, or I'll shut.
63 | 155 | 154 | I'm going to count to 3, and then I'm gonna close... 1... 2... 3...
64 | 215 | 214 | If you don't hurry up, I'll send it to the Bilge Room!
65 | 217 | 216 | Everything without a proper label gets sent to the bilge room to see ... Mother!
66 | 219 | 218 | You haven't met... Mother... have you?
67 | 221 | 220 | You'll enjoy... Mother.
68 | 223 | 222 | Mother... is a big... Mother.
69 | 225 | 224 | If you like me, you'll like Mother a lot. If you don't like me, you won't like Mother a lot.
70 | 227 | 226 | You'll enjoy Mother... And Mother will enjoy you.
71 | 229 | 228 | Mother is in the Bilge room.
72 | 231 | 230 | Givvus a room number then.
73 | 233 | 232 | Chevron! Use a chevron!
74 | 157 | 156 | Come on, pull your finger out.
75 | 235 | 234 | A chevron is a chevron, stupid!
76 | 237 | 236 | It's in your PET.
77 | 239 | 238 | It's a zig-zag. That's a zig and a zag stuck together.
78 | 241 | 240 | How should I know? I'm just a bleedin' Succ-U-Bus.
79 | 243 | 242 | Tray's full. Can't receive with a full tray. Tray's full. Tray's full.
80 | 245 | 244 | Come on. Empty the tray. Empty the tray!
81 | 247 | 246 | One at a time. One at a time.
82 | 249 | 248 | Where you sent it.
83 | 397 | 396 | There's nothing to receive.
84 | 399 | 398 | If there's nothing been sent, there's nothing for you to get, is there?
85 | 159 | 158 | I can't hang around. I'm busy. Got things to do. Things to suck. Things to blow. Things to send. Things to receive.
86 | 401 | 400 | There's nothing there.
87 | 403 | 402 | If there's nothing there, you won't get nothing.
88 | 405 | 404 | Nothing will come of nothing, will it?
89 | 407 | 406 | See? Nothing.
90 | 409 | 408 | Nothing here. Nothing here. Nothing here. Nothing here.
91 | 411 | 410 | Just give up, why don't you.
92 | 413 | 412 | Oi! Over here.
93 | 415 | 414 | I've got something for you I have.
94 | 417 | 416 | Oi. Your lucky day. I've got an object for you.
95 | 419 | 418 | You've got mail. Ha hah!
96 | 161 | 160 | Come on, do something!
97 | 421 | 420 | That thing you sent. It's here.
98 | 423 | 422 | Come and get it!
99 | 425 | 424 | About bleedin' time. It's been clogging me up a bit I can tell you.
100 | 427 | 426 | You want to hear about my nasal passages? You want to hear about my phlegm?
101 | 429 | 428 | I didn't think so.
102 | 431 | 430 | Hahuhuhuhuhuhh. Erk.
103 | 433 | 432 | There's nothing here. You must have sent it somewhere else.
104 | 435 | 434 | Not here. Maybe I lost it!
105 | 437 | 436 | Try the Bilge room.
106 | 439 | 438 | Try... Mother... Mother will be waiting for you. I hope you're ready... for Mother.
107 | 163 | 162 | I aven't got all day!
108 | 441 | 440 | I'm... Mother!
109 | 443 | 442 | It's very nice to make your aquaintance. Huhuhuhuh.
110 | 445 | 444 | Oi! There's nothing to send.
111 | 447 | 446 | Givvus something to send why don't you.
112 | 449 | 448 | Put something in my tray, and make sure it's a chicken!
113 | 451 | 450 | If you haven't got anything, improvise. Put a chicken in. I like chicken.
114 | 453 | 452 | That's too big for me. Get the BellBot to take it.
115 | 455 | 454 | I can't take something that size, big boy.
116 | 457 | 456 | I didn't say that.
117 | 459 | 458 | No I didn't.
118 | 165 | 164 | I'm a busy bottom - sorry, bot.
119 | 461 | 460 | I did not!
120 | 463 | 462 | Didn't didn't didn't didn't.
121 | 465 | 464 | Bagsy didn't and no return.
122 | 467 | 466 | Call the BellBot. Say to him "BellBot, take that".
123 | 469 | 468 | Hoo-bloody-ray. At last.
124 | 471 | 470 | Right. That's gone.
125 | 473 | 472 | That's that, then.
126 | 475 | 474 | Goodbye, and good bloody riddance.
127 | 477 | 476 | That hurt my throat. Mah urh Blueerrgh heck huuurrr.
128 | 479 | 478 | Gone. And never called me Mother.
129 | 167 | 166 | Get a move on.
130 | 481 | 480 | I know I'm very rude. I like it that way.
131 | 347 | 346 | the BarBot.
132 | 339 | 338 | the BellBot.
133 | 375 | 374 | Bombs? I like Bombs! BOOOOOM! BOOOM! BWAHAHAHAHHA! Hurhahahh hmmmm hrrr.
134 | 357 | 356 | Brobostigon.
135 | 373 | 372 | D'Astragaaaaaaaaaar.
136 | 343 | 342 | the DeskBot.
137 | 335 | 334 | Don't ask me.
138 | 341 | 340 | the DoorBot.
139 | 265 | 264 | I dunno.
140 | 267 | 266 | How should I know?
141 | 269 | 268 | I don't know nuffing about it.
142 | 271 | 270 | I don't know nothing about that. Nothing I tell you.
143 | 371 | 370 | Fentible.
144 | 367 | 366 | Fortillian.
145 | 365 | 364 | Krage.
146 | 353 | 352 | Leovinus.
147 | 345 | 344 | the LiftBot.
148 | 349 | 348 | the Maitre d'Bot.
149 | 369 | 368 | Marsinta.
150 | 359 | 358 | Me.
151 | 257 | 256 | No.
152 | 259 | 258 | No!
153 | 261 | 260 | No.
154 | 263 | 262 | No.
155 | 337 | 336 | Ask
156 | 273 | 272 | Go to
157 | 275 | 274 | Try
158 | 355 | 354 | Scraliontis.
159 | 391 | 390 | Shorbert. Shorbert Sweet. You can call me Succ-U-Bus.
160 | 377 | 376 | Eh?
161 | 379 | 378 | Speak up.
162 | 381 | 380 | Did you Space?
163 | 383 | 382 | What did you say?
164 | 385 | 384 | Don't you space at me.
165 | 387 | 386 | You wot?
166 | 389 | 388 | You say something?
167 | 395 | 394 | I'm the Succ-U-Bus.
168 | 307 | 306 | the First Class Lobby.
169 | 305 | 304 | the First Class Restaurant.
170 | 311 | 310 | your first-class stateroom.
171 | 297 | 296 | your second-class stateroom.
172 | 299 | 298 | a second-class stateroom.
173 | 315 | 314 | one of the Elevators.
174 | 323 | 322 | the Arboretum.
175 | 301 | 300 | the Bar.
176 | 277 | 276 | the Bilge Room.
177 | 331 | 330 | the Bottom of the Well.
178 | 321 | 320 | the Bridge.
179 | 325 | 324 | the Grand Axial Canal.
180 | 327 | 326 | the Grand Axial Canal First Class.
181 | 329 | 328 | the Grand Axial Canal Second Class.
182 | 285 | 284 | the Creator's Chamber.
183 | 279 | 278 | the Embarkation Lobby.
184 | 313 | 312 | the Elevator.
185 | 303 | 302 | the Music Room.
186 | 283 | 282 | the Parrot Lobby.
187 | 333 | 332 | the Pellerator.
188 | 309 | 308 | the Promenade Deck.
189 | 281 | 280 | the Sculpture Chamber.
190 | 317 | 316 | the Service Elevator.
191 | 289 | 288 | the SGT Lobby.
192 | 293 | 292 | the SGT restaurant.
193 | 319 | 318 | Titania's chamber.
194 | 287 | 286 | the Top of the Well.
195 | 291 | 290 | your SGT room.
196 | 393 | 392 | Sweet.
197 | 351 | 350 | Titania.
198 | 295 | 294 | Super Galactic Traveler class. It's a bit of a put on, isn't it? Haaahahhah hahhhahah hahaaahaha mwuhhahahah.
199 | 251 | 250 | Yeh.
200 | 253 | 252 | Yes.
201 | 255 | 254 | Yes.
202 | 363 | 362 | You.
203 | 361 | 360 | Yours Truly.
204 | 7 | 6 | Huurhoorh huherrrrgurgh!
205 | 15 | 14 | You think this is Sunset Boulevard? Get out of here.
206 | 17 | 16 | Don't be disgusting.
207 | 19 | 18 | OK, now we've got that out of the way, can we get on?
208 | 21 | 20 | OK, here we go.
209 | 49 | 48 | OK. In you go.
210 | 23 | 22 | OK, it's there.
211 | 31 | 30 | Oh. Whoops, I seem to have accidentally swallowed it. Burah burh ooorgh boor buuurhagh buu hrurh! Pardon me.
212 | 1 | 0 | What you got for me? I suck and I blow. Anything else I don't know.
213 | 3 | 2 | What you got? If I can't suck it or blow it don't show it.
214 | 5 | 4 | You want suck? I suck. You want blow? I blow. You want intellectual disputation? I got a big belch. BELCH.
215 | 53 | 52 | I really hate that parrot.
216 | 11 | 10 | How do you do anything in life? Press the right buttons.
217 | 9 | 8 | How do I work? You want a manual? Show me what to suck and I'll suck it. Tell me where to blow and I'll blow it.
218 | 483 | 482 | Oh, chicken! I love chicken. Slurrchlurccchurcccooooh!
219 | 25 | 24 | Excuse me. I've got a bit of bilious buildup in my throat.
220 | 27 | 26 | Better an empty house than a bad tenant.
221 | 55 | 54 | Huurhoorh huherrrrgurgh!
222 | 57 | 56 | Hoooouuurgh!
223 | 59 | 58 | Haaauuurh!
224 | 61 | 60 | Huuuhurhahaaauuurgh!
225 | 63 | 62 | Uuuurggghrggh!
226 | 65 | 64 | Uruurgh!
227 | 67 | 66 | Urrugh-Ahhhhr.
228 | 69 | 68 | Blourourh!
229 | 71 | 70 | Wouurgh!
230 | 35 | 34 | Oh. I think that got lost. You'll have to see Mother.
231 | 33 | 32 | Ughh. I hate chicken with sauce on. OK, if I have to. Urrrgggh. No. I couldn't accidentally swallow it. Not with all that muck on it. Pity. OK - It's there.
232 | 41 | 40 | Feathers! Feathers make me sneeze!
233 | 43 | 42 | I can't do living creatures. Not without... the bit.
234 | 51 | 50 | Ah. The parrot. I'll enjoy this.
235 | 29 | 28 | Ah... chicken! I love a good plain roasted chicken!
236 | 123 | 122 | I've only got a very small brain you know.
237 | 45 | 44 | The bit... is the bit.
238 | 47 | 46 | The bit... is where the bit is.
239 | 37 | 36 | In the basement. Where's yours?
240 | 13 | 12 | How would I know. I can't even see them from here.
241 | 39 | 38 | Mother?... is Mother.</succubus>

<parrot># Parrot

This character has 243 sentences.

Index | Sentence ID | Wave ID | Sentence
--- | --- | --- | ---
0 | 485 | 484 | Oooh! Chicken!
1 | 471 | 470 | Wrarrk!
2 | 473 | 472 | Bwarr arh!
3 | 475 | 474 | Weeerk!
4 | 477 | 476 | Wreerrk!
5 | 479 | 478 | Waaark!
6 | 481 | 480 | Screeech!
7 | 483 | 482 | Waark waark waark!
8 | 37 | 36 | Alright, I'm not a parrot. I'm a macaw! But I'm the real macaw! Ha ha! Ha ha! There you are, macaw humor! It's even better than parrot humor! Isn't it? Isn't it? Isn't it?
9 | 39 | 38 | Fooled you! I'm not a parrot! I'm a macaw! And all this time you bought into the idea that I was a parrot! You're so gullible! Ha ha! Squawk! You're so gullible! Such an idiot! I nearly fell off my perch laughing at you thinking I was a parrot!
10 | 41 | 40 | I'm a macaw! I'm a macaw! I was only pretending to be parrot for comic effect! That's the sort of wild whacky thing we macaws do! It's laugh a minute when you're a macaw, I can tell you!
11 | 17 | 16 | What's all that counting? I don't like counting!
12 | 19 | 18 | Stop that counting! It gives me premonitions of doom! I don't like doom! Wraark!
13 | 21 | 20 | Wrrark! What's this? What's this thing? I don't like the look of this thing at all? Why's it counting all the time?
14 | 23 | 22 | This isn't a bomb is it? Couldn't be a bomb! If it was a bomb it would be... it would be counting... it is a bomb! It's a bomb! It's a bomb! Does it work on parrots? Oooh, does it say if it works on parrots?
15 | 25 | 24 | Bomb? What do you mean, bomb! Do something about it! I'm not ready to die! There's a whole universe of uneaten chickens out there! Wrrrk!
16 | 27 | 26 | Oi! You! Do something! There's a bomb here!
17 | 29 | 28 | There's a bomb there's a bomb there's a bomb there's a bomb there's a bomb! Concentrate!
18 | 31 | 30 | So what are you going to do, just let this bomb go off? Do something! Don't just sit there like a Long-eared Owl! Stop it!
19 | 33 | 32 | So what are you going to do, just let this bomb go off? Do something! Don't just sit there like a Bufflehead! Stop it!
20 | 35 | 34 | So what are you going to do, just let this bomb go off? Do something! Don't just sit there like a Jabiru! Stop it!
21 | 79 | 78 | Wraark! Well, off you go then! I'd say it's been nice knowing you only it hasn't! Remember the parrot! Remember the parrot! Remember the real macaw! I thank you! I thank you! Waaark!
22 | 139 | 138 | Wooorh! That's gross! That's utterly gross! Wash your throat out with carbolic, you horrid sucking blowing thing!
23 | 141 | 140 | You are a thoroughly disgusting piece of pneumatic equipment! Stop it! Stop it! Squawk! Arrk! Warrh!
24 | 143 | 142 | Waark! Have you been programmed with no manners you flatulent piece of overwrought tin! Put a sock in it! Squawk!
25 | 267 | 266 | Chitter chatter chitter chatter, all day long. Fine words I'm sure, but fine words discover no speech center!
26 | 269 | 268 | Chitter chatter chitter chatter, all day long. Fine words I'm sure, but fine words discover no olfactory center!
27 | 271 | 270 | Chitter chatter chitter chatter, all day long. Fine words I'm sure, but fine words discover no auditory center!
28 | 273 | 272 | Chitter chatter chitter chatter, all day long. Fine words I'm sure, but fine words discover no missing mouth!
29 | 275 | 274 | Chitter chatter chitter chatter, all day long. Fine words I'm sure, but fine words discover no missing ear!
30 | 277 | 276 | Chitter chatter chitter chatter, all day long. Fine words I'm sure, but fine words discover no missing eyes!
31 | 279 | 278 | You want to 'ear something good? Try the music room! 'ear something, get it? 'ear something! Ha ha! That's parrot humor that is! Better than anything you'll get from a chaffinch!
32 | 281 | 280 | You want to ear something else to your advantage then? You want to 'ear it? Well, what about this bloody nut then? Give us a nut! Give us a nut! Give us a bloody nut!
33 | 283 | 282 | You want to know what I knows? What I nose, get it? Ah, the light dawns! The light dawns! Does it? I very much doubt it! Ha Ha! Squawk. You getting fed up with the parrot, then? Take a flying sage thrasher, then. Get yourself a tufted duck! Squawk!
34 | 285 | 284 | Aye Aye cap'n! Eye Eye! Get it? Eye Eye! Give yourself a little lift here! Get yourself a little elevation! Squawk! Ah, parrot jokes! Can't get enough of them can you? Squawk!
35 | 287 | 286 | Shall I tell you what I think! Shall I tell you what I think? What Eye think, get it? I think you're in a bit of a state! A bit of a stateroom! Ha ha! Ha ha! Ha ha! It's the way I squawk 'em, isn't it? Ahaa!
36 | 167 | 166 | Chicken in a basket! Warm chicken liver salad! Chicken with shitake mushrooms in a white wine sauce! What about chicken and pistachio nuts! What about chicken and bleeding pistachio nuts! Eh? Eh? Eh? Ooh. Warrr!
37 | 169 | 168 | Chicken faranjas! Chicken al forno! Chicken Kiev! What about chicken stuffed with pistachio nuts! At least it wouldn't squirt garlic in your bloody eye, would it? Would it? Would it? Would it?!
38 | 171 | 170 | Chicken Maryland! Half a chicken 'done under a brick'! A paillard of chicken breast topped with truffle aioli and a frisee, endive and chanterelle salad! Not much mention of pistachio in there is there? Hardly any mention at all! At all! At all!
39 | 173 | 172 | Chicken vindaloo! Chicken Teriyaki! Chicken and green onion dumplings steamed and served in a bamboo steamer with a side of black bean vinaigrette. No chicken and pistachio! Why not! Why not! Why not!
40 | 437 | 436 | Chicken! Chicken! Squawk! Oh vision of loveliness! Oh... Eugh! What's this muck on it? Ugh! Is this what I think it is? That's disgusting! What a thing to do to a chicken! What a thing to do to a parrot! What a thing to do to a hapless flock of starlings!
41 | 433 | 432 | Chicken! Chicken! Squawk! Oh bliss! Oh... Eeeugh! What's this muck on it? What's this mustard muck? Ugh!
42 | 435 | 434 | Chicken! Chicken! Squawk! Oh ecstasy! Oh... what's this muck on it? What's this tomato sauce muck? Ugh!
43 | 213 | 212 | Oi! Stop it! Stop it! I'm standing on that! Leave it alone! You are an incredibly rude person! I'll peck you! I'll screech! I'll behave abominably! You think you've seen abominable, but you haven't! You wait till I do abominable! Squawk!
44 | 215 | 214 | Look! I told you about that! That's my perch and I'm standing on it! You're trying to deprive a poor parrot of his only means of support! But you picked on a fighting parrot, buster, if I may call you buster! You leave that alone! Leave it Leave that! Leave that!
45 | 217 | 216 | Go away! Go away! You want to perch on something, perch on yourself, buster! Get off my perch! Stop it! Stop it! Stop it!
46 | 219 | 218 | Stop it! Stop it! You can't push me off my perch! You think I'm some sort of marbled godwit you can just shove of my perch? You think I'm just a mottled petrel? I'm a parrot! P. A. R. R. O. T parrot! Push me at your peril!
47 | 147 | 146 | Warrr! Wash your hands when you touch that! Filthy flatulent thing! Not you, the Succ-U-Bus. Well, you may be a filthy flatulent thing for all I know. I haven't had the pleasure of your prior acquaintance I'm glad to say.
48 | 149 | 148 | Well, you go your own sweet way, I won't be held responsible!
49 | 151 | 150 | Ooooh! I said you don't want to touch that!
50 | 153 | 152 | Waark! Nasty nasty! Smelly thing!
51 | 115 | 114 | Won't do you any good! Won't do me any good, which is more to the point! No chickens in there! No pistachio nuts either! What good's anything that is totally devoid of chicken or pistachio nuts? Waar!
52 | 117 | 116 | That's right, don't listen to me! You think you can just ignore me because I'm a parrot! Well, remember, whatever goes around comes back. I mean goes around, I mean goes about. I mean... ooorh what do I mean. On second thoughts perhaps you were right to ignore me.
53 | 119 | 118 | I said don't fiddle with that! You wouldn't just ignore my advice if I was a Golden-Breasted Waxbill would you? You wouldn't! You wouldn't, I know you wouldn't!
54 | 121 | 120 | I said don't fiddle with that! You wouldn't just ignore my advice if I was a Half-masked Weaver, would you? You wouldn't! You wouldn't, I know you wouldn't!
55 | 123 | 122 | I said don't fiddle with that! You wouldn't just ignore my advice if I was an Olive Peach Face Lovebird, would you? No, you wouldn't!
56 | 125 | 124 | I said don't fiddle with that! You wouldn't just ignore my advice if I was a Plush-crested Jay, would you? No, you wouldn't! You wouldn't, I know you wouldn't!
57 | 127 | 126 | I said don't fiddle with that! You wouldn't just ignore my advice if I was a Golden-Breasted Waxbill would you?
58 | 129 | 128 | I said don't fiddle with that! You wouldn't just ignore my advice if I was a Half-masked Weaver, would you?
59 | 131 | 130 | I said don't fiddle with that! You wouldn't just ignore my advice if I was a Plush-crested Jay, would you? No, you wouldn't! You wouldn't, I know you wouldn't!
60 | 133 | 132 | I said don't fiddle with that! You wouldn't just ignore my advice if I was an Olive Peach Face Lovebird, would you?
61 | 431 | 430 | Chicken! Chicken! Squawk! Oh bliss! Oh bleeding heck this chicken's cold! What is this? Some sort of low-calorie fob off? Where's the steaming fat? Where's the hot running grease? This is no chicken! This is some dirty no good health food!
62 | 443 | 442 | Chicken! Chicken! Oh paroxysms of pleasure! Oh bloody hell! Ugh! What is this? Cold chicken! And what's it got on it! What's it got on it! ! This is an outrage! Are you trying to wind me up? Do you think I'm some kind of cuckoo clock?
63 | 439 | 438 | Chicken! Chicken! Squawk! What a feast! What a... Eugh! What is this? Are you trifling with my affectations! This is not a chicken! This is a COLD chicken with bleeding mustard sauce on it! Take it away!
64 | 441 | 440 | Chicken! Chicken! Squawk! Oh heaven! Oh... Eugh! What is this? This isn't chicken! This is a travesty of chicken! It's cold and it's got tomato sauce on it! Begone from my sight, nasty chicken!
65 | 325 | 324 | Hey barman! I'm getting bored with the roof of my mouth. Got anything that will take it off? Ha ha! Ha ha! Squawk!
66 | 327 | 326 | Hey barman! I'm getting bored with the top of my head. Got anything that will blow it away? Ha ha! Ha ha! Squawk!
67 | 329 | 328 | Hey barman! I'm getting bored with my brain. Got anything that will fry it? Ha ha! Ha ha! Squawk!
68 | 331 | 330 | Hey barman! I'm getting bored with my feet. Got anything that will knock 'em from under me? Ha ha! Ha ha! Squawk!
69 | 333 | 332 | Hey barman! I'm getting bored with my eyes. Got anything that will make 'em bubble? Ha ha! Ha ha! Squawk!
70 | 303 | 302 | Bye bye, then. Don't forget to write!
71 | 305 | 304 | Off you go then, off you go. If you happen to see a chicken on your travels you know where to send it!
72 | 445 | 444 | Gangway! Gangway! Parrot on important nut eating mission!
73 | 89 | 88 | Waark! Call this a bleedin' maiden voyage? More like a bleedin' disaster if you ask me! Woo! What have we hit now? What have we hit now? Oh! Bang! There we go again! Hit something else now have we? What do you expect if a ship's got no brain!
74 | 91 | 90 | Gwaar! What I wouldn't do to a bowl of pistachio nuts!
75 | 257 | 256 | Ahah! Not fast enough! Squawk!
76 | 259 | 258 | Haha! You can't keep a good parrot down! ... And especially you can't keep a bad parrot down!
77 | 427 | 426 | Chicken! Chicken! Warrrk! Be still my beating heart! Squawk!
78 | 429 | 428 | Is this a chicken I see before me? Bleeding heck, it is! Squawk! Squawk!
79 | 307 | 306 | Watch out, here comes trouble! Squawk!
80 | 309 | 308 | Hello! Funny how that BellBot always appears just when he's least wanted. Does he bring a chicken? Does he bring a nut. Does he ever! Does he hell! No! No! No! No! No!
81 | 311 | 310 | Bloody BellBot! Go away! Who wants a BellBot round the place!
82 | 313 | 312 | Mr. Snooty the DoorBot! Mr. Snooty! Mr. Snooty! Mr. Snooty with no bloody food for a starving parrot!
83 | 315 | 314 | Chatterbot alert! Beware incoming chatterbot at six o'clock or whatever bloody time it is! Good joke, eh? Good example of parrot humor!
84 | 317 | 316 | BellBot alert! Beware incoming BellBot at three o'clock or whatever bloody time it is! Good joke, eh? We parrots like a good laugh! Hahahahahaha!
85 | 319 | 318 | DoorBot Alert! Beware incoming DoorBot at ten o'clock or whatever bloody time it is! Ha! Ha! I know you're not supposed to laugh at your own jokes, but sometimes they're so funny you just have to! Hahahahahaha!
86 | 243 | 242 | You wouldn't do this to a mallard, would you? Wouldn't do this to a bleeding osprey! You wouldn't put a double-crested cormorant into one of these things! You want to get your avian protocol sorted out, you do!
87 | 245 | 244 | You wouldn't put a painted bunting into one of these things!
88 | 247 | 246 | You wouldn't put an orange-crowned warbler into one of these things!
89 | 249 | 248 | You wouldn't put an northern water-thrush into one of these things!
90 | 251 | 250 | You wouldn't put an olive tree pipit into one of these things!
91 | 253 | 252 | You wouldn't put an northern rough-winged swallow into one of these things!
92 | 255 | 254 | You wouldn't put a melodious grassquit into one of these things!
93 | 113 | 112 | Warrk! Squawk! You don't want to go fiddling with that! You don't want to fiddle with that! There's been quite enough fiddling with that already, thank you very much indeed!
94 | 93 | 92 | What's happening? What's happening? Ooh, what's going on What's going on? Who are you? What are you doing here? Who am I? What am I doing here? No use asking me for help, I'm just a bleedin' parrot!
95 | 95 | 94 | Ok, so I'm a parrot. I'm a parrot, OK. You got a problem with that? What do you want? Some kinda cormorant? Some kinda greater crested yellow sea grebe? I'm a bleedin' parrot for zark's sake. Deal with it! Deal with it!
96 | 97 | 96 | I didn't say anything about being a sane parrot, did I? Did I mention anything about sanity? Did I offer you any guarantee in the area of mental health? I just mentioned my species, not my state of mind. Deal with it! Deal with it!
97 | 99 | 98 | You want to know what's going on here? You want to know what's going on here? I'll tell you what's going on here! I'll tell you. Rampant ornithology that's what! No no no not ornithology, I mean archaeology! Architecture! Rampant architecture!
98 | 101 | 100 | OK, OK, I'll help you. Erm... erm... erm! No I won't! No I won't! I'll just squawk at you instead! Ark! Wark! Wark! Inconstancy, thy name is parrot! Wark Ark Ark!
99 | 103 | 102 | Squawk Squawk! Ark Ark! Squawk Squawk! Ark Ark! Oh shut up! Shut up! Oh bloody parrot! Don't you hate it when I'm like this? Ark Ark! I know I do. Squawk Squawk! Ark Ark! Shut up! Shut up!
100 | 85 | 84 | Warrk! Oh you again! What you doing in here? Not sucking up to that Maitre d'Bot are you? Nice little tune you've got going here. Got a good beat! Squawk! Squawk! Squawk!
101 | 87 | 86 | Warrk! Oh you again! What you doing in here? Not sucking up to that Maitre d'Bot are you? What's this? Music to wash your hair by? I'd rather have dandruff! Waaark!
102 | 221 | 220 | Squawk! Don't even think about thinking about what you're thinking of!
103 | 223 | 222 | Don't you dare! I will not give in to this! I will not submit to this indignity! I won't have it, do you hear! I won't have it!
104 | 225 | 224 | Who do you think I am! Some sort of cheap budgerigar? Some sort of bleeding second rate bullfinch? I'm a parrot, zark it! A self-respecting parrot! I'm not going to be sucked into a pipe! Treat me with the respect my position in the catalogue of ornithology betokens! Squawk! Squawk!
105 | 227 | 226 | Oh I get it! You think I'm some sort of no good common yellowthroat! Well I'm not! I'm a parrot! I don't do this stuff!
106 | 229 | 228 | Oh I get it! You think I'm some sort of no good curve-billed thrasher! Well I'm not! I'm a parrot! I don't do this stuff!
107 | 231 | 230 | Oh I get it! You think I'm some sort of no good common nighthawk! Well I'm not! I'm a parrot! I don't do this stuff!
108 | 233 | 232 | You think I'm some sort of no-good clark's nutcracker! Well I'm not! I'm a parrot! I don't do this stuff!
109 | 235 | 234 | Oh I get it! You think I'm some sort of no good chimney swift! Well I'm not! I'm a parrot! I don't do this stuff!
110 | 237 | 236 | Oh I get it! You think I'm some sort of no good purple gallinule! Well I'm not! I'm a parrot! I don't do this stuff!
111 | 239 | 238 | Oh I get it! You think I'm some sort of no good red-breasted sapsucker! Well I'm not! I'm a parrot! I don't do this stuff!
112 | 241 | 240 | Oh I get it! You think I'm some sort of no good rough-legged hawk! Well I'm not! I'm a parrot! I don't do this stuff!
113 | 449 | 448 | Pieces of one. Pieces of one.
114 | 467 | 466 | Pieces of ten. Pieces of ten.
115 | 469 | 468 | Pieces of eleven. Pieces of eleven.
116 | 451 | 450 | Pieces of two. Pieces of two.
117 | 453 | 452 | Pieces of three. Pieces of three.
118 | 455 | 454 | Pieces of four. Pieces of four.
119 | 457 | 456 | Pieces of five. Pieces of five.
120 | 459 | 458 | Pieces of six. Pieces of six.
121 | 461 | 460 | Pieces of seven. Pieces of seven.
122 | 463 | 462 | Pieces of eight. Pieces of eight.
123 | 465 | 464 | Pieces of nine. Pieces of nine.
